id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,dU4dNf,https://opswise.net/proud/network/1,Service guide kernel,False,2026-01-21 16:50:21,2026-01-23 07:01:32
2,179,smzKZ8,https://seeded.app/dawn/canyon/2,Alert feed journey,False,2025-10-15 22:13:47,2025-11-03 05:46:38
3,243,VcJfJv,https://acme.dev/forest/trail/3,Launch deck delta,True,2025-07-08 08:16:32,2025-11-21 15:13:41
4,175,hSdWFz,https://relay.cloud/cobalt/pioneer/4,Roadmap update valley,True,2025-12-25 21:03:25,2026-01-08 07:57:37
5,17,e3X32L,https://relay.cloud/quiet/quartz/5,Alert feed meadow,True,2025-01-07 15:19:07,2025-06-19 00:47:10
6,346,2AOI29,https://hackstack.io/calm/kernel/6,Demo link canyon,False,2025-09-20 18:07:22,2025-09-26 20:32:56
7,259,vXoXtL,https://relay.cloud/harbor/kernel/7,Campaign page orbit,True,2025-05-30 12:18:38,2025-08-30 18:39:25
8,318,sPqGFc,https://hackstack.io/forest/lagoon/8,Demo link signal,True,2025-09-07 02:21:47,2025-12-29 21:11:16
9,297,QYF60z,https://relay.cloud/warm/uplink/9,Alert feed valley,True,2025-03-14 07:48:52,2025-08-09 15:13:10
10,186,IYsBsi,https://opswise.net/dawn/window/10,Campaign page valley,False,2026-02-14 09:05:31,2026-02-19 16:13:50
11,129,7xDchW,https://example.com/ember/pioneer/11,Quarterly brief garden,False,2025-07-29 12:30:41,2025-10-25 12:22:11
12,387,ouwR9o,https://acme.dev/silver/zenith/12,Service guide beacon,True,2025-06-02 02:11:27,2025-09-21 23:52:00
13,350,astcg3,https://hackstack.io/opal/signal/13,Service guide signal,True,2026-01-30 01:20:52,2026-02-08 16:06:18
14,220,INkeCD,https://acme.dev/quiet/journey/14,Quarterly brief window,True,2025-02-21 19:54:56,2025-05-22 10:27:18
15,337,ulWnU5,https://seeded.app/mellow/signal/15,Quarterly brief island,False,2025-07-01 11:16:39,2025-10-24 05:07:04
16,121,thfGc4,https://acme.dev/warm/canyon/16,Alert feed island,True,2025-03-21 09:56:51,2025-06-29 04:09:46
